Source,Target,Type,Id,Weight
1480,265,Directed,8001,0
1480,2389,Directed,8002,0
2491,177,Directed,8016,0
920,1292,Directed,8107,0
920,2657,Directed,8108,0
920,2389,Directed,8109,0
1233,1817,Directed,8122,0
2126,1352,Directed,8205,0
2126,2815,Directed,8206,0
2126,315,Directed,8207,0
1289,1227,Directed,8248,0
1528,1352,Directed,8349,0
1699,3140,Directed,8435,0
1699,1618,Directed,8436,0
1699,1458,Directed,8437,0
1699,1227,Directed,8438,0
930,1175,Directed,8518,0
930,2229,Directed,8519,0
930,1552,Directed,8520,0
930,1297,Directed,8521,0
930,2389,Directed,8522,0
243,2353,Directed,8540,0
243,2389,Directed,8541,0
2040,2821,Directed,8561,0
2299,177,Directed,8565,0
472,1175,Directed,8596,0
472,2132,Directed,8597,0
472,1679,Directed,8598,0
472,370,Directed,8599,0
472,1375,Directed,8600,0
472,2389,Directed,8601,0
1124,2040,Directed,8621,0
1124,2389,Directed,8622,0
3012,2040,Directed,8643,0
3012,2389,Directed,8644,0
3014,2389,Directed,8660,0
2632,2389,Directed,8677,0
1369,1352,Directed,8815,0
1369,2815,Directed,8816,0
1369,3140,Directed,8817,0
1369,1609,Directed,8818,0
1369,1618,Directed,8819,0
1369,622,Directed,8820,0
1369,829,Directed,8821,0
1369,315,Directed,8822,0
1369,2389,Directed,8823,0
1409,2389,Directed,8841,0
528,1292,Directed,8914,0
528,717,Directed,8915,0
528,1116,Directed,8916,0
528,3121,Directed,8917,0
528,1227,Directed,8918,0
528,2302,Directed,8919,0
528,1102,Directed,8920,0
528,955,Directed,8921,0
528,2389,Directed,8922,0
528,273,Directed,8923,0
921,1763,Directed,8946,0
921,490,Directed,8947,0
921,266,Directed,8948,0
921,2389,Directed,8949,0
2472,1175,Directed,8956,0
2472,1552,Directed,8957,0
273,2389,Directed,9103,0
955,1761,Directed,9166,0
955,2389,Directed,9167,0
1718,1107,Directed,9168,0
1718,2389,Directed,9169,0
1398,265,Directed,9191,0
1398,2389,Directed,9192,0
779,3008,Directed,9292,0
779,636,Directed,9293,0
779,2389,Directed,9294,0
465,2310,Directed,9345,0
465,636,Directed,9346,0
465,2389,Directed,9347,0
1700,626,Directed,9401,0
1700,636,Directed,9402,0
1700,2389,Directed,9403,0
712,636,Directed,9472,0
712,2389,Directed,9473,0
636,2389,Directed,9483,0
2353,1338,Directed,9514,0
1291,2023,Directed,9517,0
1189,2734,Directed,9565,0
889,1528,Directed,9578,0
889,1261,Directed,9579,0
889,857,Directed,9580,0
889,2501,Directed,9581,0
889,672,Directed,9582,0
889,2489,Directed,9583,0
889,1829,Directed,9584,0
889,1189,Directed,9585,0
889,184,Directed,9586,0
889,2700,Directed,9587,0
889,528,Directed,9588,0
889,205,Directed,9589,0
889,1695,Directed,9590,0
889,1029,Directed,9591,0
889,1427,Directed,9592,0
889,2973,Directed,9593,0
889,647,Directed,9594,0
889,462,Directed,9595,0
889,1225,Directed,9596,0
889,2264,Directed,9597,0
889,573,Directed,9598,0
889,224,Directed,9599,0
889,509,Directed,9600,0
889,786,Directed,9601,0
889,2126,Directed,9602,0
