Id,Label,extime_copy,group,folder
440,InitAccBuffer(biogeophys)(),0,1,CLM_45_r97
454,terminate_patches(),0,1,CLM_45_r97
455,drydepvel_inst%Init(),0,1,CLM_45_r97
458,CNDriverNoLeaching(),0,1,CLM_45_r97
462,surfrd_get_grid(),0,1,CLM_45_r97
465,InitAccVars(biogeophys)(),0,1,CLM_45_r97
470,getfil(),0,1,CLM_45_r97
472,opnfil(),0,1,CLM_45_r97
485,get_start_date(),0,1,CLM_45_r97
490,LakeFluxes(),0,1,CLM_45_r97
492,SetRHSVec_SnowUrbanNonRoad(),0,1,CLM_45_r97
497,lnd_final_esmf(),0,1,CLM_45_r97
500,dynSubgrid_init(),0,1,CLM_45_r97
502,shr_file_setIO(),0,1,CLM_45_r97
503,Growth_Derivatives(),0,1,CLM_45_r97
512,update_rad_dtime(),0,1,CLM_45_r97
514,get_clump_bounds_new(),0,1,CLM_45_r97
519,spmd_init(),0,1,CLM_45_r97
529,set_nextsw_cday(),0,1,CLM_45_r97
530,UpdateAccVars(biogeophys)(),0,1,CLM_45_r97
538,UrbanReadNML(),0,1,CLM_45_r97
546,cnveg_carbonflux_inst%restart(),0,1,CLM_45_r97
548,Phasechange_beta(),0,1,CLM_45_r97
550,temperature_inst%restart(),0,1,CLM_45_r97
551,l2g_1d(),0,1,CLM_45_r97
558,ncd_io_1d_double_glob(),0,1,CLM_45_r97
562,ed_init_sites(),0,1,CLM_45_r97
565,restFile_closeRestart(),0,1,CLM_45_r97
568,readAnnualVegetation(),0,1,CLM_45_r97
569,SnowAlbedo(),0,1,CLM_45_r97
572,SetMatrix_SoilNonUrban(),0,1,CLM_45_r97
575,SetMatrix_StandingSurfaceWater(),0,1,CLM_45_r97
590,SoilWater(),0,1,CLM_45_r97
597,CIsoFlux2(),0,1,CLM_45_r97
603,ed_phenology_inst%accumulateAndExtract(),0,1,CLM_45_r97
606,C14_init_BombSpike(),0,1,CLM_45_r97
609,canopystate_inst%UpdateAccVars(),0,1,CLM_45_r97
615,ed_clm_inst%ed_clm_link(),0,1,CLM_45_r97
619,ZeroDwt(),0,1,CLM_45_r97
622,hist_addfld1d(),0,1,CLM_45_r97
624,get_prev_time(),0,1,CLM_45_r97
626,SnowCompaction(),0,1,CLM_45_r97
631,phenology_leafonoff(),0,1,CLM_45_r97
636,humanindex_inst%Init(),0,1,CLM_45_r97
639,mpi_bcast(),0,1,CLM_45_r97
642,restFile_getfile(),0,1,CLM_45_r97
644,InitAllocate(soilbiogeochem)(),0,1,CLM_45_r97
650,lnd_SetgsMap_mct(),0,1,CLM_45_r97
651,CNGapMortality(),0,1,CLM_45_r97
656,SetMatrix_Soil_SnowNonUrban(),0,1,CLM_45_r97
659,SoilBiogeochemDecomp(),0,1,CLM_45_r97
660,InitHistory(soilbiogeochem)(),0,1,CLM_45_r97
662,masterlist_make_active(),0,1,CLM_45_r97
663,InitHistory(ED_main)(),0,1,CLM_45_r97
665,ncd_io_2d_text_glob(),0,1,CLM_45_r97
668,setFiltersOneGroup(),0,1,CLM_45_r97
669,urbanparams_inst%Init(),0,1,CLM_45_r97
674,get_proc_bounds_new(),0,1,CLM_45_r97
680,SetRHSVec_Snow(),0,1,CLM_45_r97
683,create_patch(),0,1,CLM_45_r97
688,copy_state(),0,1,CLM_45_r97
689,ch4(),0,1,CLM_45_r97
695,InitCold(soilbiogeochem)(),0,1,CLM_45_r97
696,clm_instInit(),0,1,CLM_45_r97
697,restFile_write(),0,1,CLM_45_r97
698,get_current_data_1d(),0,1,CLM_45_r97
701,ed_update_site(),0,1,CLM_45_r97
702,create_cohort(),0,1,CLM_45_r97
706,CNOnsetGrowth(),0,1,CLM_45_r97
707,mct_gGrid_init(),0,1,CLM_45_r97
708,set_timemgr_init(),0,1,CLM_45_r97
716,mct_aVect_zero(),0,1,CLM_45_r97
717,BeginCNBalance(),0,1,CLM_45_r97
719,QSat_2(),0,1,CLM_45_r97
725,AerosolFluxes(),0,1,CLM_45_r97
726,SetMatrix_Soil_StandingSurfaceWater(),0,1,CLM_45_r97
728,ncd_getatt_char(),0,1,CLM_45_r97
731,irrigation_inst%restart(),0,1,CLM_45_r97
734,htape_create(),0,1,CLM_45_r97
735,dis_coi(),0,1,CLM_45_r97
739,patch%Init(),0,1,CLM_45_r97
749,depvel_compute(),0,1,CLM_45_r97
751,InitAccVars(main)(),0,1,CLM_45_r97
758,p2c_2d(),0,1,CLM_45_r97
761,cambial_damage_kill(),0,1,CLM_45_r97
766,SetRHSVec_SoilUrbanRoad(),0,1,CLM_45_r97
771,dynHarvest_init(),0,1,CLM_45_r97
772,SFParamsReadLocal(),0,1,CLM_45_r97
779,this%read_data_if_needed(),0,1,CLM_45_r97
781,init_accum_field(),0,1,CLM_45_r97
782,UpdateAccVars(main)(),0,1,CLM_45_r97
789,this%InitCold(),0,1,CLM_45_r97
792,calc_effective_soilporosity(),0,1,CLM_45_r97
793,p2g_2d(),0,1,CLM_45_r97
795,Photosynthesis(),0,1,CLM_45_r97
796,mct_gGrid_importIAttr(),0,1,CLM_45_r97
798,energyflux_inst%Init(),0,1,CLM_45_r97
800,CNCIsoHarvestPftToColumn(),0,1,CLM_45_r97
806,downscale_forcings(),0,1,CLM_45_r97
807,CNFireInit(),0,1,CLM_45_r97
809,patch_pft_size_profile(),0,1,CLM_45_r97
811,temperature_inst%Init(),0,1,CLM_45_r97
815,CIsoFluxCalc(),0,1,CLM_45_r97
816,atm2lnd_inst%Init(),0,1,CLM_45_r97
817,cnveg_nitrogenstate_inst%ZeroDWT(),0,1,CLM_45_r97
819,this%set_current_year(),0,1,CLM_45_r97
828,l2g(),0,1,CLM_45_r97
833,Init(main)(),0,1,CLM_45_r97
834,DustEmission(),0,1,CLM_45_r97
836,Drainage(),0,1,CLM_45_r97
843,lnd_run_mct(),0,1,CLM_45_r97
844,surfrd_get_data(),0,1,CLM_45_r97
847,readParameters(),0,1,CLM_45_r97
863,SnowWater(),0,1,CLM_45_r97
865,ZeroDwt (2)(),0,1,CLM_45_r97
867,CNFireArea(),0,1,CLM_45_r97
868,pio_seterrorhandling(),0,1,CLM_45_r97
874,fire_danger_index(),0,1,CLM_45_r97
877,ncd_io_3d_double_glob(),0,1,CLM_45_r97
883,disturbance_rates(),0,1,CLM_45_r97
886,c14_cnveg_carbonflux_inst%ZeroDWT(),0,1,CLM_45_r97
890,cnveg_carbonflux_inst%Summary(),0,1,CLM_45_r97
891,shr_file_getLogUnit(),0,1,CLM_45_r97
894,fire_model(),0,1,CLM_45_r97
896,cnveg_nitrogenstate_inst%Init(),0,1,CLM_45_r97
904,endrun_globalindex(),0,1,CLM_45_r97
907,CNHarvest(),0,1,CLM_45_r97
908,waterstate_inst%Init(),0,1,CLM_45_r97
915,Photosynthesis_ED(),0,1,CLM_45_r97
918,InitCold(biogeochem)(),0,1,CLM_45_r97
924,initSoilParVIC(),0,1,CLM_45_r97
925,p2l_1d(),0,1,CLM_45_r97
929,lnd_init_esmf(),0,1,CLM_45_r97
930,InitAllocate(main)(),0,1,CLM_45_r97
939,SurfaceRunoff(),0,1,CLM_45_r97
941,atm2lnd_inst%UpdateAccVars(),0,1,CLM_45_r97
942,irrigation_inst%ApplyIrrigation(),0,1,CLM_45_r97
943,build_normalization(),0,1,CLM_45_r97
944,init_soilwater_movement(),0,1,CLM_45_r97
952,surfalb_inst%Init(),0,1,CLM_45_r97
954,InitForTesting(),0,1,CLM_45_r97
968,init(ED_biogeochem)(),0,1,CLM_45_r97
983,check_patch_area(),0,1,CLM_45_r97
986,SetMatrix_Snow_SoilUrban(),0,1,CLM_45_r97
991,SetMatrix_Soil_SnowUrbanRoad(),0,1,CLM_45_r97
996,this%InitHistory(),0,1,CLM_45_r97
998,set_pct_glc_mec_diagnostics(),0,1,CLM_45_r97
1001,list_index(),0,1,CLM_45_r97
1004,hist_update_hbuf_field_2d(),0,1,CLM_45_r97
1006,terminate_cohorts(),0,1,CLM_45_r97
1010,UrbanRadiation(),0,1,CLM_45_r97
1013,CIsoFlux1(),0,1,CLM_45_r97
1014,EDecophysconInit(),0,1,CLM_45_r97
1018,readSoilBiogeochemDecompCnParams(),0,1,CLM_45_r97
1023,harvest_inst(),0,1,CLM_45_r97
1026,this%createPatchCohortStructure(),0,1,CLM_45_r97
1036,fuse_cohorts(),0,1,CLM_45_r97
1041,readSoilBiogeochemNLeachingParams(),0,1,CLM_45_r97
1045,init_vegrootfr(),0,1,CLM_45_r97
1049,net_longwave(),0,1,CLM_45_r97
1054,readParams (2)(),0,1,CLM_45_r97
1057,CNGResp(),0,1,CLM_45_r97
1062,update_glc2lnd_topo(),0,1,CLM_45_r97
1063,ncd_getiodesc(),0,1,CLM_45_r97
1064,p2c_2d_filter(),0,1,CLM_45_r97
1068,NStateUpdate1(),0,1,CLM_45_r97
1070,temperature_inst%UpdateAccVars(),0,1,CLM_45_r97
1071,ncd_pio_init(),0,1,CLM_45_r97
1077,ncd_io_0d_double_glob(),0,1,CLM_45_r97
1080,SoilBiogeochemPrecisionControl(),0,1,CLM_45_r97
1081,Fractionation(),0,1,CLM_45_r97
1084,Combo(),0,1,CLM_45_r97
1088,update_glc2lnd(),0,1,CLM_45_r97
1097,UrbanInput(),0,1,CLM_45_r97
1102,incident_diffuse(),0,1,CLM_45_r97
1111,CNDriverSummary(),0,1,CLM_45_r97
1112,BuildingHAC(),0,1,CLM_45_r97
1115,control_spmd(),0,1,CLM_45_r97
1120,lnd2glc_inst%Init(),0,1,CLM_45_r97
1121,htapes_fieldlist(),0,1,CLM_45_r97
1122,canopy_derivs(),0,1,CLM_45_r97
1129,lnd_final_mct(),0,1,CLM_45_r97
1135,SoilBiogeochemCompetitionInit(),0,1,CLM_45_r97
1145,ncd_defvar_bynf(),0,1,CLM_45_r97
1146,CNGap_PatchToColumn(),0,1,CLM_45_r97
1148,Summary_carbonflux(),0,1,CLM_45_r97
1151,ncd_putatt(),0,1,CLM_45_r97
1155,cnveg_carbonstate_inst%restart(),0,1,CLM_45_r97
1159,l2g_2d(),0,1,CLM_45_r97
1163,ESMF_ArraySpecSet(),0,1,CLM_45_r97
1164,CanopyHydrology(),0,1,CLM_45_r97
1170,Wet_Bulb(),0,1,CLM_45_r97
1171,clm_drv(),0,1,CLM_45_r97
1174,calc_beta_leepielke1992(),0,1,CLM_45_r97
1176,restFile_add_ilun_metadata(),0,1,CLM_45_r97
1180,this%initAllocate(),0,1,CLM_45_r97
1182,dgvs_inst%UpdateAccVars(),0,1,CLM_45_r97
1184,LakeConInit(),0,1,CLM_45_r97
1185,SFParamsRead(),0,1,CLM_45_r97
1186,restFile_enddef(),0,1,CLM_45_r97
1199,subgrid_get_gcellinfo(),0,1,CLM_45_r97
1201,InitRead(),0,1,CLM_45_r97
1202,IrrigationClean(),0,1,CLM_45_r97
1204,update_landunit_weights(),0,1,CLM_45_r97
1213,KtoC(),0,1,CLM_45_r97
1214,BalanceCheck(),0,1,CLM_45_r97
1215,ch4conrd(),0,1,CLM_45_r97
1219,BuildNatVegFilter(),0,1,CLM_45_r97
1220,UrbanFluxes(),0,1,CLM_45_r97
1223,SoilBiogeochemCompetition(),0,1,CLM_45_r97
1225,readNcdioArray2d(),0,1,CLM_45_r97
1227,waterflux_inst%restart(),0,1,CLM_45_r97
1236,lnd_domain_mct(),0,1,CLM_45_r97
1238,restFile_read_consistency_nl(),0,1,CLM_45_r97
1244,cnveg_nitrogenflux_inst%Summary(),0,1,CLM_45_r97
1245,shr_sys_getenv(),0,1,CLM_45_r97
1251,dyn_hwcontent_init(),0,1,CLM_45_r97
1264,extract_accum_field_sl(),0,1,CLM_45_r97
1267,zero_site(),0,1,CLM_45_r97
1270,read_variable_1d(),0,1,CLM_45_r97
1271,ComputeHeatDiffFluxAndFactor(),0,1,CLM_45_r97
1274,Call(),0,1,
1279,soilbiogeochem_carbonflux_inst%ZeroDWT(),0,1,CLM_45_r97
1280,surfrd_veg_dgvm(),0,1,CLM_45_r97
1285,p2c_1d(),0,1,CLM_45_r97
1292,EDpftconrd(),0,1,CLM_45_r97
1295,readMonthlyVegetation(),0,1,CLM_45_r97
1298,soilbiogeochem_carbonstate_inst%Init(),0,1,CLM_45_r97
1300,scam_field_offsets(),0,1,CLM_45_r97
1303,ncd_io_3d_int_glob(),0,1,CLM_45_r97
1305,hmdex(),0,1,CLM_45_r97
1318,normalize_unfrozen_rootfr(),0,1,CLM_45_r97
1321,CIsoFlux3(),0,1,CLM_45_r97
1330,restFile_check_consistency(),0,1,CLM_45_r97
1333,mct_aVect_init(),0,1,CLM_45_r97
1334,ncd_putatt_real(),0,1,CLM_45_r97
1340,Restart(biogeochem)(),0,1,CLM_45_r97
1341,domain_init(),0,1,CLM_45_r97
1346,SoilBiogeochemPotential(),0,1,CLM_45_r97
1347,this%update_glc2lnd_topo(),0,1,CLM_45_r97
1349,getVectors(),0,1,CLM_45_r97
1352,c14_cnveg_carbonstate_inst%restart(),0,1,CLM_45_r97
1353,clm_varcon_init(),0,1,CLM_45_r97
1354,ncd_io_1d_int_glob(),0,1,CLM_45_r97
1361,seq_drydep_setHCoeff(),0,1,CLM_45_r97
1365,seed_germination(),0,1,CLM_45_r97
1367,CNVegStructUpdate(),0,1,CLM_45_r97
1375,dgesv(),0,1,CLM_45_r97
1378,canopy_spread(),0,1,CLM_45_r97
1382,Light(),0,1,CLM_45_r97
1387,SetRHSVec_SoilUrban(),0,1,CLM_45_r97
1389,cnveg_state_inst%Init(),0,1,CLM_45_r97
